,1,2,3,4,5,6,7,8,9,10
76,K,DRI,SRE,WELL,KMX,MO,AES,REG,AKAM,V
77,ZION,REG,SRE,UHS,DRI,IEX,LUV,LVS,AKAM,DVA
78,IEX,UHS,REG,ZION,LUV,SRE,AES,MO,V,DRI
79,IEX,UHS,LUV,REG,ZION,AES,K,MO,AKAM,JCI
80,IEX,UHS,LUV,REG,VTRS,AKAM,MCHP,ZION,AES,K
81,MCHP,AKAM,VTRS,NEM,LVS,REG,ZION,AES,SRE,HIG
82,MCHP,NEM,HIG,VTRS,AKAM,MO,LVS,TJX,REG,SRE
83,TJX,TSCO,MCHP,JCI,INTU,REG,HIG,DVA,ANSS,SRE
84,TJX,TSCO,JCI,HIG,INTU,DVA,ADI,MCHP,REG,ANSS
85,DVA,HIG,LVS,AES,JCI,MO,GM,MCHP,SRE,ADI
86,K,MO,GPN,VTRS,NEM,AKAM,LUV,WELL,KMX,BXP
87,SRE,MCHP,REG,KMX,DRI,INTU,ADI,TJX,ZION,DVA
88,MCHP,SRE,AES,REG,KMX,INTU,DRI,DVA,ZION,TJX
89,MCHP,KMX,INTU,ADI,AKAM,ANSS,VTRS,V,DVA,ZION
90,MCHP,ANSS,DVA,ZION,ADI,IEX,V,AKAM,INTU,VTRS
91,LUV,IEX,ANSS,JCI,DVA,ADI,INTU,AKAM,V,VTRS
92,AKAM,ANSS,MCHP,IEX,ADI,LUV,V,K,LVS,JCI
93,K,DVA,LUV,ZION,LVS,VTRS,AKAM,HIG,V,ANSS
94,K,VTRS,AKAM,DVA,MCHP,ZION,LVS,SRE,ANSS,UHS
95,DVA,VTRS,MO,TJX,K,SRE,HIG,ANSS,ZION,LVS
96,TJX,MO,DVA,INTU,ADI,K,UHS,SRE,ANSS,MCHP
97,TJX,DVA,UHS,V,ADI,INTU,TSCO,ANSS,VTRS,MO
98,DVA,UHS,V,ZION,ANSS,TJX,INTU,VTRS,MCHP,TSCO
99,UHS,V,ZION,HIG,MO,DVA,INTU,TJX,DRI,AES
100,UHS,V,MO,ZION,HIG,INTU,DVA,AES,KMX,REG
101,HIG,V,MO,UHS,AES,ZION,JCI,KMX,REG,INTU
102,MO,NEM,SRE,KMX,REG,TSCO,DRI,WELL,K,HIG
103,MO,NEM,KMX,SRE,V,DVA,HIG,ZION,UHS,DRI
104,ADI,ZION,MCHP,MO,LUV,UHS,BXP,NEM,GPN,ANSS
105,MO,ADI,ZION,LUV,MCHP,NEM,AES,BXP,TSCO,UHS
106,MO,ADI,MCHP,LUV,ZION,K,BXP,VTRS,AES,LVS
107,K,ZION,MO,DVA,WELL,TSCO,MCHP,KMX,SRE,HIG
108,K,WELL,ZION,MCHP,NEM,LUV,DVA,HIG,SRE,MO
109,VTRS,NEM,K,LUV,WELL,DVA,INTU,UHS,TJX,GPN
110,VTRS,LUV,NEM,DVA,UHS,WELL,ZION,K,REG,MO
111,MO,NEM,VTRS,UHS,WELL,TJX,DVA,AES,V,K
112,NEM,DVA,ZION,MO,VTRS,DRI,WELL,UHS,K,AES
113,NEM,ZION,MO,V,KMX,WELL,AES,DVA,LUV,INTU
114,ZION,NEM,KMX,MO,AES,MCHP,SRE,V,BXP,DRI
115,KMX,MCHP,TSCO,NEM,LUV,LVS,AKAM,ZION,SRE,BXP
116,NEM,MCHP,SRE,KMX,UHS,JCI,DVA,MO,TSCO,ZION
117,NEM,UHS,MO,DVA,INTU,SRE,IEX,TSCO,JCI,BXP
118,NEM,UHS,MO,DVA,INTU,AES,SRE,K,IEX,TSCO
119,VTRS,DVA,MO,K,UHS,AES,INTU,JCI,NEM,MCHP
120,VTRS,DVA,AES,MCHP,JCI,ADI,K,UHS,SRE,HIG
121,VTRS,DVA,MCHP,AES,JCI,ADI,LVS,SRE,NEM,ZION
122,JCI,VTRS,DVA,ADI,MCHP,LVS,GPN,AES,ZION,REG
123,JCI,GPN,NEM,AES,HIG,TJX,REG,INTU,MCHP,LVS
124,JCI,GPN,NEM,DVA,LVS,KMX,REG,IEX,HIG,INTU
125,JCI,NEM,KMX,DVA,WELL,IEX,LVS,ADI,DRI,V
126,JCI,DVA,NEM,KMX,IEX,WELL,ADI,DRI,VTRS,MCHP
127,DVA,KMX,NEM,JCI,IEX,K,VTRS,WELL,ADI,DRI
128,DVA,K,WELL,KMX,IEX,NEM,REG,DRI,BXP,MO
129,DVA,K,KMX,NEM,INTU,IEX,HIG,MO,DRI,TJX
130,UHS,DVA,K,ZION,KMX,VTRS,GPN,IEX,NEM,ADI
131,DVA,ZION,VTRS,K,UHS,IEX,NEM,GPN,KMX,SRE
132,IEX,DVA,K,UHS,VTRS,ZION,AKAM,WELL,GPN,NEM
133,IEX,DVA,K,AKAM,VTRS,ANSS,SRE,ZION,NEM,GPN
134,IEX,DVA,AKAM,TJX,ANSS,ZION,NEM,K,V,SRE
135,DVA,MO,TJX,IEX,AKAM,ZION,ANSS,NEM,K,INTU
136,DVA,MO,TJX,INTU,ANSS,NEM,GPN,IEX,WELL,K
137,MO,DVA,GPN,IEX,ANSS,ZION,TSCO,UHS,MCHP,NEM
138,GPN,MO,DVA,TSCO,IEX,WELL,NEM,UHS,DRI,V
139,GPN,MO,DVA,TSCO,UHS,BXP,IEX,V,DRI,WELL
140,GPN,LVS,MO,DVA,TSCO,DRI,BXP,IEX,V,UHS
141,LVS,GPN,MO,DVA,IEX,TSCO,DRI,KMX,JCI,V
142,LVS,MO,GPN,IEX,TSCO,JCI,KMX,TJX,DVA,ZION
143,ADI,HIG,INTU,UHS,ANSS,WELL,K,AKAM,SRE,DRI
144,SRE,GPN,ZION,UHS,WELL,JCI,AKAM,IEX,MO,HIG
145,DVA,ZION,SRE,GPN,VTRS,AES,MO,BXP,LUV,PYPL
146,DVA,GPN,ZION,AES,SRE,HIG,ANSS,MO,K,BXP
147,DVA,VTRS,AES,ZION,ANSS,INTU,WELL,MO,GPN,HIG
148,DVA,ANSS,AES,MO,GPN,VTRS,TJX,IEX,WELL,INTU
149,LVS,K,BXP,GM,MCHP,LUV,ZION,KMX,VTRS,NEM
