,name,stock,start_time,end_time,days,成交量均值,成交金额均值,上周涨跌幅,涨跌幅均值,股价波动程度,开收盘价方差,未来一周的收益率
0,Tractor Supply Company,TSCO,2017-01-02 00:00:00.000000000,2017-01-08 23:59:59.999999999,4,1411875.0,98516815.84568024,inf,-0.002437402652241158,0.00903289952885213,0.6259628250682093,0.011841714662184755
1,Tractor Supply Company,TSCO,2017-01-09 00:00:00.000000000,2017-01-15 23:59:59.999999999,5,892480.0,62423223.75747681,-0.009749610608964633,0.001804504228491741,0.005749854869798179,0.8089695830017636,-0.01091426848214865
2,Tractor Supply Company,TSCO,2017-01-16 00:00:00.000000000,2017-01-22 23:59:59.999999999,4,1237050.0,86285072.3739624,0.009022521142458705,-0.006915757856991834,0.015352239780667944,1.9405715065950093,-0.011433101223607025
3,Tractor Supply Company,TSCO,2017-01-23 00:00:00.000000000,2017-01-29 23:59:59.999999999,5,1133040.0,78103380.01144409,-0.027663031427967336,-0.0009369896185973311,0.00477638345247751,0.1884433475935377,-0.014523781956770869
4,Tractor Supply Company,TSCO,2017-01-30 00:00:00.000000000,2017-02-05 23:59:59.999999999,5,3338920.0,225423432.84362793,-0.004684948092986655,-0.0032223168314582363,0.010447363714042599,0.9493297761090222,0.013236747236826468
5,Tractor Supply Company,TSCO,2017-02-06 00:00:00.000000000,2017-02-12 23:59:59.999999999,5,2129520.0,143828250.2597046,-0.016111584157291182,0.0026473494473652935,0.0065504889064817535,0.23724814760874063,-0.027878786795557053
6,Tractor Supply Company,TSCO,2017-02-13 00:00:00.000000000,2017-02-19 23:59:59.999999999,5,2091440.0,138661619.5022583,0.013236747236826468,-0.002679082617027051,0.014000241265425048,2.387640024098157,-0.010708743683299457
7,Tractor Supply Company,TSCO,2017-02-20 00:00:00.000000000,2017-02-26 23:59:59.999999999,4,2144400.0,141986247.95532227,-0.013395413085135257,-0.005187084821363066,0.010959857372828459,0.87860876757064,0.017142020158350365
8,Tractor Supply Company,TSCO,2017-02-27 00:00:00.000000000,2017-03-05 23:59:59.999999999,5,2210780.0,146447795.7888794,-0.020748339285452264,0.0030005981027624003,0.009858734311902725,0.622497160893575,0.001657813460869744
9,Tractor Supply Company,TSCO,2017-03-06 00:00:00.000000000,2017-03-12 23:59:59.999999999,5,1340260.0,89162750.39001465,0.015002990513812,0.0020340613369413344,0.007255272212850482,0.4194807661155213,-0.015721850704667258
10,Tractor Supply Company,TSCO,2017-03-13 00:00:00.000000000,2017-03-19 23:59:59.999999999,5,1824460.0,120832988.04870605,0.010170306684706672,-0.0009204394939473654,0.004524708908818829,0.5033543230243621,-0.03292720585748353
11,Tractor Supply Company,TSCO,2017-03-20 00:00:00.000000000,2017-03-26 23:59:59.999999999,5,2098080.0,133724830.91400146,-0.004602197469736827,-0.005358160304076422,0.014853923746282412,2.4273369216234517,-0.0007245725432220787
12,Tractor Supply Company,TSCO,2017-03-27 00:00:00.000000000,2017-04-02 23:59:59.999999999,5,1526660.0,96405190.18676758,-0.02679080152038211,0.0016077489961461265,0.005321929701266786,0.15041732815385858,0.014064346792782605
13,Tractor Supply Company,TSCO,2017-04-03 00:00:00.000000000,2017-04-09 23:59:59.999999999,5,2213840.0,140868401.81106567,0.008038744980730633,0.005162832774109909,0.011222750636964573,0.8192602214941105,-0.09150702985101089
14,Tractor Supply Company,TSCO,2017-04-10 00:00:00.000000000,2017-04-16 23:59:59.999999999,4,4374475.0,266600795.87144852,0.025814163870549547,-0.024392875949328447,0.055024185268564264,18.13540669123181,0.03242057469856405
15,Tractor Supply Company,TSCO,2017-04-17 00:00:00.000000000,2017-04-23 23:59:59.999999999,5,2042980.0,121324080.05104065,-0.09757150379731379,0.00645165444598333,0.01348814979613104,1.016668739957093,-0.05625013665104103
16,Tractor Supply Company,TSCO,2017-04-24 00:00:00.000000000,2017-04-30 23:59:59.999999999,5,3318500.0,194209027.3791504,0.03225827222991665,-0.011134821205878356,0.027916028690520577,4.722031047089175,0.000646148244086596
17,Tractor Supply Company,TSCO,2017-05-01 00:00:00.000000000,2017-05-07 23:59:59.999999999,5,2140180.0,122559005.92674255,-0.055674106029391775,0.001791552664390001,0.009332608065435673,0.4300092613078913,-0.030347155477521134
18,Tractor Supply Company,TSCO,2017-05-08 00:00:00.000000000,2017-05-14 23:59:59.999999999,5,1520960.0,85473448.60115051,0.008957763321950005,-0.005157284722152859,0.013089618556370761,1.3125760430647075,-0.03711458303515791
19,Tractor Supply Company,TSCO,2017-05-15 00:00:00.000000000,2017-05-21 23:59:59.999999999,5,2003960.0,107857994.32487488,-0.025786423610764296,-0.004757727346199355,0.01077482089773034,1.1945994572166165,-0.046725854349591506
20,Tractor Supply Company,TSCO,2017-05-22 00:00:00.000000000,2017-05-28 23:59:59.999999999,5,3014100.0,152249291.64711,-0.023788636730996775,-0.005044373843557668,0.021090585018169464,3.7177018616973827,0.01330160223742922
21,Tractor Supply Company,TSCO,2017-05-29 00:00:00.000000000,2017-06-04 23:59:59.999999999,4,2553275.0,131251218.41945648,-0.025221869217788337,0.0036026609206806317,0.010127081870539094,0.48167576039710475,0.02535534052810684
22,Tractor Supply Company,TSCO,2017-06-05 00:00:00.000000000,2017-06-11 23:59:59.999999999,5,3085900.0,158496756.62719727,0.014410643682722527,0.004007145671173275,0.019710672049758064,1.2185931157808143,-0.027183509559290445
23,Tractor Supply Company,TSCO,2017-06-12 00:00:00.000000000,2017-06-18 23:59:59.999999999,5,2626680.0,137745768.1665039,0.020035728355866377,-0.007796230737934988,0.016700953155078083,1.3821839299018326,-0.0508381439569188
